treatment,zip5,unique_key,age,channel_cd,state,canc_month,resp,conv,region,division,cancel_reason_bucket,annual_premium_select,driver_cnt_select,vehicle_cnt_select,polk_flag,pif_own_rent_cd,internet_sale_ind,pif_risk_lvl
HO,43912,90,50,DM,OH,6,0,0,Midwest,East_North_Central,Non-Payment,370,1,1,1,T,Y,B
HO,46373,91,,DM,IN,5,0,0,Midwest,East_North_Central,Other Company (Y),1199,4,2,1,O,N,B
HO,2908,92,42,DM,RI,4,0,0,Northeast,New_England,Non-Payment,,,,1,T,Y,C
HO,89445,93,,DM_EM,NV,7,0,0,West,Mountain,Non-Payment,2716,1,1,1,T,N,D
HO,46235,94,42,DM,IN,18,0,0,Midwest,East_North_Central,Non-Payment,684,1,1,1,T,Y,D
HO,11590,95,55,DM,NY,10,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),2322,1,1,1,T,Y,C
HO,60099,96,46,DM_EM,IL,11,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),1662,1,1,1,T,Y,C
HO,78254,97,32,DM,TX,19,0,0,South,West_South_Central,Rate dissatisfaction (Y),1192,1,1,1,O,N,B
HO,45011,98,38,DM,OH,14,0,0,Midwest,East_North_Central,Non-Payment,343,2,1,1,T,Y,B
HO,46205,99,,DM,IN,4,0,0,Midwest,East_North_Central,Sold car/Inoperable/Not running (Y),235,1,1,1,T,N,B
HO,94582,100,,DM,CA,6,0,0,West,Pacific,Other Company (Y),499,4,1,1,R,N,B
HO,1887,101,69,DM,MA,10,0,0,Northeast,New_England,Other Company (Y),1275,2,2,1,R,N,B
HO,45426,102,75,DM_EM,OH,11,0,0,Midwest,East_North_Central,Other Company (Y),716,2,1,1,T,N,C
HO,33765,103,33,DM,FL,4,0,0,South,South_Atlantic,Other Company (Y),856,1,1,1,T,Y,B
HO,31088,104,,DM,GA,22,0,0,South,South_Atlantic,Non-Payment,1592,1,1,1,T,Y,D
HO,30310,105,32,DM,GA,23,0,0,South,South_Atlantic,Non-Payment,3062,2,2,1,T,Y,C
HO,18640,106,,DM,PA,8,0,0,Northeast,Middle_Atlantic,Other Company (Y),343,2,1,1,T,Y,B
HO,7024,107,76,DM,NJ,6,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),1198,2,2,1,O,Y,B
HO,33193,108,,DM,FL,23,0,0,South,South_Atlantic,Other Company (Y),618,3,1,1,O,N,B
HO,10512,109,63,DM,NY,7,0,0,Northeast,Middle_Atlantic,Other Company (Y),752,1,1,1,O,N,B
HO,77301,110,65,DM,TX,16,0,0,South,West_South_Central,Non-Payment,1877,2,2,1,O,Y,C
HO,36695,111,43,DM,AL,22,0,0,South,East_South_Central,Other Company (Y),416,2,1,1,T,Y,B
HO,60525,112,41,DM,IL,14,0,0,Midwest,East_North_Central,Other Company (Y),1896,3,2,1,O,Y,B
HO,76058,113,37,DM,TX,6,0,0,South,West_South_Central,Non-Payment,1624,2,3,1,O,Y,B
HO,51028,114,,DM,IA,10,0,0,Midwest,West_North_Central,No reason given (Y),680,2,2,1,T,Y,B
HO,19713,115,33,DM_EM,DE,23,0,0,South,South_Atlantic,Other Company (Y),875,2,1,1,T,Y,B
HO,89129,116,,DM,NV,15,0,0,West,Mountain,Sold car/Inoperable/Not running (Y),1508,2,1,1,T,N,B
HO,46016,117,,DM,IN,19,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),520,4,1,1,O,Y,C
HO,76504,118,62,DM,TX,15,0,0,South,West_South_Central,Other Company (Y),784,1,1,1,O,Y,B
HO,19444,119,33,DM,PA,4,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),914,1,1,1,T,N,C
HO,8619,120,34,DM,NJ,4,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),1096,1,1,1,T,N,C
HO,92025,121,,DM,CA,12,0,0,West,Pacific,Other Company (Y),,,,1,O,N,B
HO,32514,122,63,DM,FL,13,0,0,South,South_Atlantic,Non-Payment,512,1,1,1,T,N,C
HO,60615,123,43,DM,IL,19,0,0,Midwest,East_North_Central,Other Company (Y),663,1,1,1,T,N,B
HO,79938,124,55,DM_EM,TX,24,0,0,South,West_South_Central,Other Company (Y),1461,2,2,1,O,Y,B
HO,85392,125,49,DM,AZ,18,0,0,West,Mountain,Others,1133,1,1,1,T,N,D
HO,75024,126,47,DM_EM,TX,7,0,0,South,West_South_Central,Other Company (Y),204,2,1,1,T,Y,B
HO,85259,127,29,DM_EM,AZ,20,0,0,West,Mountain,Sold car/Inoperable/Not running (Y),774,1,1,1,T,N,B
HO,78739,128,51,DM_EM,TX,20,0,0,South,West_South_Central,Other Company (Y),1002,2,2,1,O,Y,B
HO,37087,129,,DM,TN,22,0,0,South,East_South_Central,Rate dissatisfaction (Y),1388,2,2,1,T,Y,C
HO,31206,130,42,DM,GA,6,0,0,South,South_Atlantic,Rate dissatisfaction (Y),1730,1,2,1,T,Y,B
HO,70605,131,26,DM,LA,11,0,0,South,West_South_Central,Sold car/Inoperable/Not running (Y),639,2,1,1,T,Y,C
HO,78852,132,25,DM_EM,TX,7,0,0,South,West_South_Central,Other Company (Y),1352,1,1,1,O,Y,C
HO,18810,133,44,DM_EM,PA,18,0,0,Northeast,Middle_Atlantic,Non-Payment,605,2,1,1,T,N,D
HO,33811,134,70,DM_EM,FL,12,0,0,South,South_Atlantic,Other Company (Y),831,3,2,1,O,N,B
HO,6091,135,29,DM,CT,19,0,0,Northeast,New_England,Non-Payment,395,1,1,1,T,Y,B
HO,72019,136,30,DM,AR,5,0,0,South,West_South_Central,Non-Payment,497,1,1,1,T,Y,D
HO,11224,137,66,DM,NY,10,0,0,Northeast,Middle_Atlantic,Other Company (Y),1172,2,1,1,O,N,B
HO,70072,138,,DM_EM,LA,18,0,0,South,West_South_Central,Others,424,1,1,1,T,Y,B
HO,37804,139,21,DM,TN,16,0,0,South,East_South_Central,Non-Payment,949,1,1,1,T,Y,D
HO,19119,140,,DM,PA,19,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),2250,2,1,1,T,Y,C
HO,32217,141,65,DM,FL,19,0,0,South,South_Atlantic,Other Company (Y),1960,2,2,1,T,N,C
HO,55104,142,,DM,MN,16,0,0,Midwest,West_North_Central,Other Company (Y),233,1,1,1,O,Y,B
HO,45229,143,44,DM,OH,20,0,0,Midwest,East_North_Central,Other Company (Y),839,1,1,1,T,N,C
HO,73045,144,39,DM,OK,6,0,0,South,West_South_Central,Non-Payment,487,1,1,1,T,Y,B
HO,18603,145,,DM,PA,13,0,0,Northeast,Middle_Atlantic,Other Company (Y),502,1,1,1,T,Y,B
HO,76354,146,28,DM_EM,TX,14,0,0,South,West_South_Central,Rate dissatisfaction (Y),497,2,1,1,,Y,D
HO,1852,147,60,DM,MA,24,0,0,Northeast,New_England,Other Company (Y),754,1,1,1,,,
HO,31533,148,35,DM,GA,18,0,0,South,South_Atlantic,Non-Payment,1135,1,3,1,T,Y,C
HO,29040,149,68,DM,SC,4,0,0,South,South_Atlantic,No reason given (Y),1437,1,1,1,O,N,B
HO,78045,150,42,DM,TX,5,0,0,South,West_South_Central,Sold car/Inoperable/Not running (Y),,,,1,O,Y,B
HO,21244,151,27,DM_EM,MD,7,0,0,South,South_Atlantic,Non-Payment,1903,1,1,1,O,Y,D
HO,33776,152,22,DM,FL,13,0,0,South,South_Atlantic,Non-Payment,1359,1,1,1,O,Y,D
HO,32773,153,,DM,FL,16,0,0,South,South_Atlantic,Non-Payment,809,2,1,1,T,Y,C
HO,32223,154,22,DM,FL,19,0,0,South,South_Atlantic,Non-Payment,812,1,1,1,T,N,C
HO,60014,155,34,DM,IL,21,0,0,Midwest,East_North_Central,Other Company (Y),646,2,2,1,T,Y,B
HO,32405,156,42,DM,FL,13,0,0,South,South_Atlantic,Rate dissatisfaction (Y),1748,2,2,1,T,N,C
HO,92301,157,59,DM_EM,CA,24,0,0,West,Pacific,Sold car/Inoperable/Not running (Y),682,2,1,1,O,N,B
HO,17078,158,48,DM,PA,22,0,0,Northeast,Middle_Atlantic,Rate dissatisfaction (Y),2169,4,3,1,T,Y,B
HO,29453,159,40,DM_EM,SC,24,0,0,South,South_Atlantic,Non-Payment,1191,3,1,1,O,Y,C
HO,78233,160,33,DM_EM,TX,18,0,0,South,West_South_Central,Other Company (Y),,,,1,,,
HO,77449,161,41,DM,TX,8,0,0,South,West_South_Central,Other Company (Y),2206,1,2,1,O,Y,B
HO,85008,162,58,DM,AZ,4,0,0,West,Mountain,Non-Payment,1634,1,2,1,O,Y,D
HO,34736,163,39,DM,FL,16,0,0,South,South_Atlantic,Other Company (Y),417,2,1,1,O,N,B
HO,60613,164,42,DM_EM,IL,24,0,0,Midwest,East_North_Central,Sold car/Inoperable/Not running (Y),459,1,1,1,O,Y,B
HO,78759,165,45,DM,TX,22,0,0,South,West_South_Central,Sold car/Inoperable/Not running (Y),433,1,1,1,T,Y,B
HO,77665,166,31,DM,TX,19,0,0,South,West_South_Central,Others,396,1,1,1,T,Y,C
HO,15216,167,60,DM_EM,PA,7,0,0,Northeast,Middle_Atlantic,Non-Payment,369,2,1,1,T,Y,B
HO,61866,168,67,DM_EM,IL,14,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),503,1,1,1,T,Y,B
HO,38901,169,38,DM,MS,8,0,0,South,East_South_Central,Rate dissatisfaction (Y),1924,2,4,1,O,Y,B
HO,30115,170,,DM,GA,4,0,0,South,South_Atlantic,Non-Payment,511,1,1,1,T,Y,B
HO,98404,171,54,DM,WA,16,0,0,West,Pacific,Others,949,5,1,1,T,Y,B
HO,20112,172,55,DM,VA,4,0,0,South,South_Atlantic,Other Company (Y),774,2,2,1,O,Y,C
HO,84062,173,40,DM,UT,11,0,0,West,Mountain,Rate dissatisfaction (Y),1078,1,2,1,T,N,C
HO,61704,174,63,DM,IL,8,0,0,Midwest,East_North_Central,Non-Payment,371,1,1,1,T,Y,C
HO,93705,175,,DM,CA,6,0,0,West,Pacific,Non-Payment,1602,1,1,1,T,Y,D
HO,26250,176,27,DM,WV,22,0,0,South,South_Atlantic,Non-Payment,678,1,1,1,T,N,D
HO,37334,177,28,DM,TN,13,0,0,South,East_South_Central,Rate dissatisfaction (Y),1120,1,1,1,,,
HO,80223,178,28,DM_EM,CO,7,0,0,West,Mountain,Rate dissatisfaction (Y),1013,1,1,0,T,Y,D
HO,77006,179,29,DM,TX,4,0,0,South,West_South_Central,Non-Payment,895,1,1,1,T,Y,D
HO,33169,180,74,DM_EM,FL,14,0,0,South,South_Atlantic,Other Company (Y),1850,4,3,1,O,N,B
HO,6415,181,,DM_EM,CT,12,0,0,Northeast,New_England,Other Company (Y),1354,1,1,1,T,Y,C
HO,32832,182,,DM,FL,19,0,0,South,South_Atlantic,Rate dissatisfaction (Y),2040,2,2,1,T,Y,C
HO,45240,183,48,DM,OH,13,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),2057,3,2,1,O,Y,C
HO,14620,184,25,DM,NY,7,0,0,Northeast,Middle_Atlantic,Sold car/Inoperable/Not running (Y),435,2,1,1,T,Y,B
HO,46528,185,55,DM,IN,7,0,0,Midwest,East_North_Central,Non-Payment,408,2,1,1,T,Y,D
HO,43615,186,,DM,OH,19,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),2123,1,1,1,T,N,D
HO,55106,187,28,DM_EM,MN,18,0,0,Midwest,West_North_Central,Other Company (Y),635,2,1,1,T,Y,B
HO,94124,188,36,DM,CA,16,0,0,West,Pacific,Non-Payment,,,,1,T,N,D
HO,27958,189,29,DM,NC,8,0,0,South,South_Atlantic,Non-Payment,929,1,1,1,,,
HO,80231,190,36,DM,CO,22,0,0,West,Mountain,Non-Payment,1638,1,1,1,T,N,D
HO,91205,191,48,DM_EM,CA,24,0,0,West,Pacific,Rate dissatisfaction (Y),1951,2,1,1,T,Y,B
HO,84003,192,42,DM,UT,13,0,0,West,Mountain,Non-Payment,826,1,1,1,T,Y,C
HO,60416,193,62,DM,IL,5,0,0,Midwest,East_North_Central,Non-Payment,,,,1,O,Y,B
HO,50266,194,35,DM,IA,10,0,0,Midwest,West_North_Central,Other Company (Y),391,1,1,1,O,Y,B
HO,30152,195,51,DM,GA,5,0,0,South,South_Atlantic,Rate dissatisfaction (Y),720,2,1,1,O,Y,B
HO,63028,196,31,DM,MO,16,0,0,Midwest,West_North_Central,Others,882,2,2,1,O,Y,B
HO,39828,197,65,DM_EM,GA,20,0,0,South,South_Atlantic,Other Company (Y),1681,3,4,1,O,N,B
HO,30401,198,58,DM,GA,8,0,0,South,South_Atlantic,Other Company (Y),2068,2,3,1,O,N,B
HO,10952,199,29,DM,NY,24,0,0,Northeast,Middle_Atlantic,Sold car/Inoperable/Not running (Y),701,2,1,1,T,Y,C
HO,77598,200,,DM,TX,16,0,0,South,West_South_Central,Non-Payment,1257,2,2,1,O,Y,B
HO,29127,201,73,DM_EM,SC,18,0,0,South,South_Atlantic,Non-Payment,2280,2,4,1,O,N,C
HO,21901,202,35,DM,MD,22,0,0,South,South_Atlantic,Rate dissatisfaction (Y),1014,2,3,1,O,N,C
HO,10039,203,29,DM,NY,4,0,0,Northeast,Middle_Atlantic,Non-Payment,,,,1,O,Y,C
HO,23111,204,,DM,VA,14,0,0,South,South_Atlantic,Others,470,4,1,1,O,N,D
HO,39401,205,25,DM,MS,16,0,0,South,East_South_Central,Rate dissatisfaction (Y),1414,2,1,1,T,Y,B
HO,96706,206,32,DM,HI,19,0,0,West,Pacific,Non-Payment,742,3,1,1,T,N,C
HO,19530,207,48,DM,PA,12,0,0,Northeast,Middle_Atlantic,Others,1018,2,2,1,T,Y,B
HO,71107,208,66,DM_EM,LA,23,0,0,South,West_South_Central,Non-Payment,756,2,1,1,O,N,D
HO,78254,209,52,DM_EM,TX,12,0,0,South,West_South_Central,Rate dissatisfaction (Y),3403,2,2,1,O,Y,C
HO,45249,210,,DM,OH,10,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),770,2,2,1,O,Y,B
HO,33178,211,36,DM_EM,FL,7,0,0,South,South_Atlantic,Non-Payment,1559,3,1,1,T,Y,B
HO,77521,212,,DM,TX,9,0,0,South,West_South_Central,Non-Payment,1108,2,1,1,T,Y,B
HO,36421,213,78,DM,AL,5,0,0,South,East_South_Central,Non-Payment,419,2,1,1,O,N,C
HO,82072,214,49,DM,WY,5,0,0,West,Mountain,Non-Payment,,,,1,O,Y,C
HO,88005,215,81,DM,NM,4,0,0,West,Mountain,Other Company (Y),271,2,1,1,T,N,D
HO,70360,216,24,DM,LA,19,0,0,South,West_South_Central,Rate dissatisfaction (Y),2876,1,2,1,T,Y,C
HO,44905,217,33,DM,OH,4,0,0,Midwest,East_North_Central,Non-Payment,290,2,1,1,T,Y,C
HO,15044,218,33,DM,PA,6,0,0,Northeast,Middle_Atlantic,Non-Payment,563,3,2,1,T,Y,C
HO,75054,219,60,DM_EM,TX,7,0,0,South,West_South_Central,Non-Payment,1023,1,1,1,T,Y,C
HO,23860,220,30,DM,VA,13,0,0,South,South_Atlantic,Non-Payment,,,,1,T,Y,C
HO,19508,221,30,DM,PA,4,0,0,Northeast,Middle_Atlantic,Other Company (Y),1762,1,1,1,T,Y,D
HO,64843,222,,DM,MO,6,0,0,Midwest,West_North_Central,Non-Payment,478,2,2,1,T,Y,C
HO,32321,223,51,DM,FL,10,0,0,South,South_Atlantic,Other Company (Y),830,1,1,1,O,N,B
HO,80260,224,,DM,CO,24,0,0,West,Mountain,Non-Payment,1798,1,1,1,T,N,D
HO,47715,225,49,DM,IN,8,0,0,Midwest,East_North_Central,Other Company (Y),524,3,1,1,T,Y,D
HO,45840,226,49,DM,OH,10,0,0,Midwest,East_North_Central,Other Company (Y),453,1,1,1,T,Y,C
HO,30083,227,35,DM_EM,GA,18,0,0,South,South_Atlantic,Non-Payment,1940,1,1,1,,,
HO,45614,228,80,DM,OH,21,0,0,Midwest,East_North_Central,Others,439,1,1,1,O,N,C
HO,75103,229,,DM,TX,19,0,0,South,West_South_Central,Non-Payment,1681,2,2,1,O,Y,C
HO,8648,230,,DM,NJ,16,0,0,Northeast,Middle_Atlantic,Other Company (Y),1905,2,1,1,T,Y,C
HO,60178,231,,DM,IL,4,0,0,Midwest,East_North_Central,Rate dissatisfaction (Y),1261,1,1,1,R,Y,C
HO,91352,232,55,DM,CA,24,0,0,West,Pacific,Other Company (Y),1718,3,4,1,O,Y,B
HO,39042,233,41,DM_EM,MS,24,0,0,South,East_South_Central,Non-Payment,914,1,1,1,O,Y,B
HO,35481,234,,DM,AL,4,0,0,South,East_South_Central,Non-Payment,353,1,1,0,T,Y,B
HO,11040,235,59,DM_EM,NY,14,0,0,Northeast,Middle_Atlantic,Other Company (Y),542,2,1,1,O,N,B
HO,71302,236,33,DM,LA,5,0,0,South,West_South_Central,No reason given (Y),1598,1,1,1,O,Y,B
HO,37040,237,35,DM_EM,TN,14,0,0,South,East_South_Central,Rate dissatisfaction (Y),2994,2,3,1,T,Y,C
HO,70503,238,43,DM_EM,LA,14,0,0,South,West_South_Central,No reason given (Y),591,1,1,0,O,Y,C
HO,66203,239,,DM,KS,6,0,0,Midwest,West_North_Central,Non-Payment,1071,1,1,1,T,Y,D
HO,71459,240,,DM_EM,LA,23,0,0,South,West_South_Central,Other Company (Y),2618,2,2,1,O,Y,C
HO,11220,241,73,DM,NY,5,0,0,Northeast,Middle_Atlantic,Other Company (Y),913,1,1,1,T,Y,B
HO,8361,242,45,DM,NJ,5,0,0,Northeast,Middle_Atlantic,Non-Payment,679,1,1,1,O,N,D
HO,85043,243,66,DM,AZ,17,0,0,West,Mountain,Other Company (Y),969,2,2,1,O,Y,B
